,Item_Number,count,95
0,PROC3420,44,42
1,PROC9321,44,42
2,SL10F25678,43,41
3,PROC12008,43,41
4,000000000067000739,42,40
5,PROC1811,42,40
6,PROC13209,41,39
7,cdb_49000017,41,39
8,SPP0M26744,39,38
9,SPP0H55681,38,37
10,PROC12801,22,21
11,000000000031502214,22,21
12,SSW0Q43526,22,21
13,PROC6914,22,21
14,000000000031038890,22,21
15,SSW0F82867,22,21
16,SSW0G45194,22,21
17,SDM0K33193,22,21
18,PROC14102,22,21
19,PROC10209,22,21
20,SSW0G44671,22,21
21,000000000031045653,22,21
22,PROC7704,22,21
23,SSW0F75749,22,21
24,PROC11104,22,21
25,SSW0N29422,22,21
26,PROC3726,22,21
27,000000000031034561,22,21
28,PROC14101,22,21
29,SM20H54473,22,21
30,SSW0K51131,22,21
31,SD50H32650,22,21
32,SP10K29485,22,21
33,SSW0G44390,22,21
34,000000000031503454,22,21
35,PROC8213,21,20
36,000000000031503985,21,20
37,SSW0N26852,21,20
38,SM50F76959,21,20
39,000000000031501055,21,20
40,000000000000008820,21,20
41,SSW0K51574,21,20
42,PROC7029,21,20
43,000000000031506282,21,20
44,PROC2237,21,20
45,SSW0G44670,21,20
46,SSW0G44348,21,20
47,PROC10224,21,20
48,PROC6222,21,20
49,000000000031045785,21,20
50,PROC8215,21,20
51,SSW0G44392,21,20
52,SPP0G54610,21,20
53,SSW0K52073,21,20
54,SSW0G43707,21,20
55,000000000031034609,21,20
56,000000000031045784,21,20
57,PROC9203,21,20
58,PROC10204,21,20
59,PROC11105,21,20
60,SP10G00161,21,20
61,PROC10806,21,20
62,SSW0N27719,21,20
63,000000000031045548,21,20
64,SSW0K51575,21,20
65,PROC8212,21,20
66,SSW0N29425,21,20
67,SSW0N29515,21,20
68,SPP0G54600,21,20
69,SPP0G98370,21,20
70,000000000031045550,21,20
71,000000000031037296,21,20
72,PROC8219,21,20
73,SSW0N27927,21,20
74,000000000031034776,21,20
75,SSW0K51546,21,20
76,SB20K00972,21,20
77,SSW0K51614,21,20
78,000000000031028776,21,20
79,SA70K11490,21,20
80,000000000025216222,21,20
81,PROC9106,21,20
82,000000000144002367,21,20
83,PROC2802,21,20
84,000000000031040179,21,20
85,SPP0G98255,21,20
86,SSW0K51133,21,20
87,SSW0K51686,21,20
88,SSW0Q43897,21,20
89,SD50H32698,21,20
90,PROC11021,21,20
91,SSW0G44836,19,19
92,PROC9107,19,19
93,SPP0G99675,19,19
94,cdb_04000018,19,19
95,SSW0G44351,19,19
96,PROC7320,19,19
97,PROC7109,19,19
98,SSW0G44585,19,19
99,000000000031045549,19,19
100,SSW0N28641,19,19
101,SSW0K51935,19,19
102,SSW0L97271,19,19
103,SPP0H55684,19,19
104,SL60K75022,19,19
105,SSW0G42871,19,19
106,000000000031501056,19,19
107,SD50H32746,19,19
108,PROC3410,19,19
109,000000000067001143,19,19
110,000000000031028400,19,19
111,SSW0G44953,19,19
112,SSW0P20662,19,19
113,SPP0K08480,19,19
114,PROC10338,19,19
115,SPP0G54625,19,19
116,PROC7033,19,19
117,SPP0J33159,17,17
118,SPP0J33247,17,17
119,PROC8214,17,17
120,000000000031503244,17,17
121,000000000031503455,17,17
122,SSW0G42868,17,17
123,SM20H54472,17,17
124,000000000031503456,17,17
125,PROC10938,17,17
126,PROC11106,17,17
127,SSW0Q44609,17,17
128,PROC10001,17,17
129,cdb_47000131,17,17
130,PROC10219,17,17
131,SSW0F63159,17,17
132,PROC10958,17,17
133,SSW0G44017,17,17
134,SSW0G44678,17,17
135,000000000031042062,17,17
136,000000000031034774,17,17
137,cdb_50000007,17,17
138,PROC8211,17,17
139,SSW0L47695,17,17
140,PROC8345,17,17
141,PROC13101,17,17
142,000000000031503243,17,17
143,000000000000011977,17,17
144,PROC11611,17,17
